"","title","author","subject","abstract","meta"
"40","Learning Collective Variables for Protein Folding with Labeled Data Augmentation through Geodesic Interpolation","Soojung Yang, Juno Nam, Johannes C. B. Dietschreit, Rafael Gómez-Bombarelli","Chemical Physics (physics.chem-ph)","In molecular dynamics (MD) simulations, rare events, such as protein folding, are typically studied by means of enhanced sampling techniques, most of which rely on the definition of a collective variable (CV) along which the acceleration occurs. Obtaining an expressive CV is crucial, but often hindered by the lack of information about the particular event, e.g., the transition from unfolded to folded conformation. We propose a simulation-free data augmentation strategy using physics-inspired metrics to generate geodesic interpolations resembling protein folding transitions, thereby improving sampling efficiency without true transition state samples. Leveraging interpolation progress parameters, we introduce a regression-based learning scheme for CV models, which outperforms classifier-based methods when transition state data is limited and noisy","Fri, 2 Feb 2024 16:35:02 UTC (2,291 KB)"
"41","Ultra-Cold Cryogenic TEM with Liquid Helium and High Stability","Emily Rennich, Suk Hyun Sung, Nishkarsh Agarwal, Maya Gates, Robert Kerns, Robert Hovden, Ismail El Baggari","Applied Physics (physics.app-ph)","Cryogenic transmission electron microscopy has revolutionized structural biology and materials science, but achieving temperatures below the boiling point of liquid nitrogen remains a long-standing aspiration. We introduce an ultra-cold liquid helium transmission electron microscope specimen holder, featuring continuous cryogen flow and vibration decoupling. This instrument is compatible with modern aberration-corrected microscopes and achieves sub-25 K base temperature, ${\pm}$2 mK thermal stability over many hours, and atomic resolution--setting the stage for a new era of cryogenic electron microscopy.","Thu, 1 Feb 2024 14:52:04 UTC (2,904 KB)"
"42","Hybrid quantum cycle generative adversarial network for small molecule generation","Matvei Anoshin, Asel Sagingalieva, Christopher Mansell, Vishal Shete, Markus Pflitsch, Alexey Melnikov","Biomolecules (q-bio.BM)","The contemporary drug design process demands considerable time and resources to develop each new compound entering the market. Generating small molecules is a pivotal aspect of drug discovery, essential for developing innovative pharmaceuticals. Uniqueness, validity, diversity, druglikeliness, synthesizability, and solubility molecular pharmacokinetic properties, however, are yet to be maximized. This work introduces several new generative adversarial network models based on engineering integration of parametrized quantum circuits into known molecular generative adversarial networks. The introduced machine learning models incorporate a new multi-parameter reward function grounded in reinforcement learning principles. Through extensive experimentation on benchmark drug design datasets, QM9 and PC9, the introduced models are shown to outperform scores achieved previously. Most prominently, the new scores indicate an increase of up to 30% in the druglikeness quantitative estimation. The new hybrid quantum machine learning algorithms, as well as the achieved scores of pharmacokinetic properties, contribute to the development of fast and accurate drug discovery processes.","Thu, 28 Dec 2023 14:10:26 UTC (2,934 KB)"
"43","Exact minimax entropy models of large-scale neuronal activity","Christopher W. Lynn, Qiwei Yu, Rich Pang, Stephanie E. Palmer, William Bialek","Biological Physics (physics.bio-ph)","In the brain, fine-scale correlations combine to produce macroscopic patterns of activity. However, as experiments record from larger and larger populations, we approach a fundamental bottleneck: the number of correlations one would like to include in a model grows larger than the available data. In this undersampled regime, one must focus on a sparse subset of correlations; the optimal choice contains the maximum information about patterns of activity or, equivalently, minimizes the entropy of the inferred maximum entropy model. Applying this ``minimax entropy"" principle is generally intractable, but here we present an exact and scalable solution for pairwise correlations that combine to form a tree (a network without loops). Applying our method to over one thousand neurons in the mouse hippocampus, we find that the optimal tree of correlations reduces our uncertainty about the population activity by 14% (over 50 times more than a random tree). Despite containing only 0.1% of all pairwise correlations, this minimax entropy model accurately predicts the observed large-scale synchrony in neural activity and becomes even more accurate as the population grows. The inferred Ising model is almost entirely ferromagnetic (with positive interactions) and exhibits signatures of thermodynamic criticality. These results suggest that a sparse backbone of excitatory interactions may play an important role in driving collective neuronal activity.","Mon, 18 Dec 2023 17:34:06 UTC (5,318 KB)"
"44","An electrodynamic wave model for the action potential","Vitaly L. Galinsky, Lawrence R. Frank","Biological Physics (physics.bio-ph)","An alternative to the standard Hodgkin-Huxley model for axon action potential is presented. It is based on our recently developed theory of electric field wave propagation in anisotropic and inhomogeneous brain tissues, which has been shown to explain a broad range of observed coherent synchronous brain electrical processes. We demonstrate that this theory also explains the spiking behavior of single neurons, thus bridging the gap between the fundamental element of brain electrical activity (the neuron) and large-scale coherent synchronous electrical activity. Our analysis indicates that the membrane interface of the axonal cellular system can be mathematically described by a nonlinear system with several small parameters. This allows for the rigorous derivation of an accurate yet simpler nonlinear model following the formal small parameter expansion. The resulting action potential model exhibits a smooth, continuous transition from the linear oscillatory regime to the nonlinear spiking regime, as well as a critical transition to a non-oscillatory regime. These transitions occur with changes in the criticality parameter and include several different bifurcation types, representative of the various experimentally detected neuron types. This new theory overcomes the limitations of the Hodgkin-Huxley model, such as the inability to explain extracellular spiking, efficient brain synchronization, saltatory conduction along myelinated axons, and a variety of other observed coherent macroscopic brain electrical phenomena. We also show that the standard cable axon theory can be recovered by our approach, using the very crude assumptions of piece-wise homogeneity and isotropy. However, the diffusion process described by the cable equation is not capable of supporting action potential propagation across a wide range of experimentally reported axon parameters.","Wed, 31 Jan 2024 18:14:36 UTC (304 KB)[v2] Wed, 14 Feb 2024 16:25:59 UTC (304 KB)"
"45","Identification of spatial dynamic patterns of behavior using weighted Voronoi diagrams","Martha Lorena Avendaño-Garrido, Carlos Alberto Hernández-Linares, Brenda Zarahí Medina-Pérez, Varsovia Hernández, Porfirio Toledo, Alejandro León","Other Quantitative Biology (q-bio.OT)","This study proposes an innovative approach to analyze spatial patterns of behavior by integrating information in weighted Voronoi diagrams. The objective of the research is to analyze the temporal distribution of an experimental subject in different regions of a given space, with the aim of identifying significant areas of interest. The methodology employed involves dividing the experimental space, determining representative points, and assigning weights based on the cumulative time the subject spends in each region. This process results in a set of generator points along with their respective weights, thus defining the Voronoi diagram. The study also presents a detailed and advanced perspective for understanding spatial behavioral patterns in experimental contexts.","Tue, 30 Jan 2024 20:00:49 UTC (12,885 KB)"
"46","Brains' Classicality Conception of the Universe","Jahan N. Schad","General Physics (physics.gen-ph)","The reality of our perceived universe has been questioned by deep thinkers of all times. And the discovery of the mysterious quantum mechanics has made it fundamental; and expectedly it is being addressed in quantum physics: the efforts are in the context of the genesis of the universe; from its quantum beginning to its possible quantum to-physical reduction; the end that we experience. The requirement for the reduction arises due to quantum particles multimodal indefinite existence; probabilistic varying sites and characteristics. Therefore, a real classical universe could only result from a universal autonomous reduction, which nonetheless may have happened despite lack of a falsifiable proof theory. The other possibility (avoiding the cataclysmic event) could be world classicality due to reduction in our minds, or brains. New findings about the latency of consciousness, point to autonomous brain as the site of such event. The scheme for such reductions is figured out in the interpretation theories of measurement of simple quantum systems of particles, which can also explicate having one definite universe from many indefinite alternatives of the quantum universe. The anthropocentric approaches are at best ad hoc and rely on choice, prompting of which remains unknown. My approach avoids these issues by isolating two entangled subsystems out of the pure quantum universe; the photons-phonons and beings nervous subsystems. Ignoring the remaining entangled mass particle subsystem, renders others in statistical correlation states (not quantum), where survival brain patterns make the selection. This state of the brain, forces also the selection of its entangled (mass) environment; and thus embracing the information of the mass particle universe, its classicality streamed to our consciousness; after all, our connection with everything external to us is through photons and phonons","Mon, 29 Jan 2024 23:01:29 UTC (66 KB)"
"47","Stochastic Distinguishability of Markovian Trajectories","Asawari Pagare, Zhongmin Zhang, Jiming Zheng, Zhiyue Lu","Statistical Mechanics (cond-mat.stat-mech)","The ability to distinguish between stochastic systems based on their trajectories is crucial in thermodynamics, chemistry, and biophysics. The Kullback-Leibler (KL) divergence, $D_{\text{KL}}^{AB}(0,\tau)$, quantifies the distinguishability between the two ensembles of length-$\tau$ trajectories from Markov processes A and B. However, evaluating $D_{\text{KL}}^{AB}(0,\tau)$ from histograms of trajectories faces sufficient sampling difficulties, and no theory explicitly reveals what dynamical features contribute to the distinguishability. This letter provides a general formula that decomposes $D_{\text{KL}}^{AB}(0,\tau)$ in space and time for any Markov processes, arbitrarily far from equilibrium or steady state. It circumvents the sampling difficulty of evaluating $D_{\text{KL}}^{AB}(0,\tau)$. Furthermore, it explicitly connects trajectory KL divergence with individual transition events and their waiting time statistics. The results provide insights into understanding distinguishability between Markov processes, leading to new theoretical frameworks for designing biological sensors and optimizing signal transduction.","Mon, 29 Jan 2024 20:24:43 UTC (22 KB)"
"48","Dynamic Electro-Optic Analog Memory for Neuromorphic Photonic Computing","Sean Lam, Ahmed Khaled, Simon Bilodeau, Bicky A. Marquez, Paul R. Prucnal, Lukas Chrostowski, Bhavin J. Shastri, Sudip Shekhar","Emerging Technologies (cs.ET)","Artificial intelligence (AI) has seen remarkable advancements across various domains, including natural language processing, computer vision, autonomous vehicles, and biology. However, the rapid expansion of AI technologies has escalated the demand for more powerful computing resources. As digital computing approaches fundamental limits, neuromorphic photonics emerges as a promising platform to complement existing digital systems. In neuromorphic photonic computing, photonic devices are controlled using analog signals. This necessitates the use of digital-to-analog converters (DAC) and analog-to-digital converters (ADC) for interfacing with these devices during inference and training. However, data movement between memory and these converters in conventional von Neumann computing architectures consumes energy. To address this, analog memory co-located with photonic computing devices is proposed. This approach aims to reduce the reliance on DACs and ADCs and minimize data movement to enhance compute efficiency. This paper demonstrates a monolithically integrated neuromorphic photonic circuit with co-located capacitive analog memory and compares various analog memory technologies for neuromorphic photonic computing using the MNIST dataset as a benchmark.","Mon, 29 Jan 2024 19:37:50 UTC (26,925 KB)"
"49","Active learning of Boltzmann samplers and potential energies with quantum mechanical accuracy","Ana Molina-Taborda, Pilar Cossio, Olga Lopez-Acevedo, Marylou Gabrié","Chemical Physics (physics.chem-ph)","Extracting consistent statistics between relevant free-energy minima of a molecular system is essential for physics, chemistry and biology. Molecular dynamics (MD) simulations can aid in this task but are computationally expensive, especially for systems that require quantum accuracy. To overcome this challenge, we develop an approach combining enhanced sampling with deep generative models and active learning of a machine learning potential (MLP). We introduce an adaptive Markov chain Monte Carlo framework that enables the training of one Normalizing Flow (NF) and one MLP per state. We simulate several Markov chains in parallel until they reach convergence, sampling the Boltzmann distribution with an efficient use of energy evaluations. At each iteration, we compute the energy of a subset of the NF-generated configurations using Density Functional Theory (DFT), we predict the remaining configuration's energy with the MLP and actively train the MLP using the DFT-computed energies. Leveraging the trained NF and MLP models, we can compute thermodynamic observables such as free-energy differences or optical spectra. We apply this method to study the isomerization of an ultrasmall silver nanocluster, belonging to a set of systems with diverse applications in the fields of medicine and catalysis.","Mon, 29 Jan 2024 19:01:31 UTC (5,901 KB)"
"50","Emergence of cooperation under punishment: A reinforcement learning perspective","Chenyang Zhao, Guozhong Zheng, Chun Zhang, Jiqiang Zhang, Li Chen","Populations and Evolution (q-bio.PE)","Punishment is a common tactic to sustain cooperation and has been extensively studied for a long time. While most of previous game-theoretic work adopt the imitation learning where players imitate the strategies who are better off, the learning logic in the real world is often much more complex. In this work, we turn to the reinforcement learning paradigm, where individuals make their decisions based upon their past experience and long-term returns. Specifically, we investigate the Prisoners' dilemma game with Q-learning algorithm, and cooperators probabilistically pose punishment on defectors in their neighborhood. Interestingly, we find that punishment could lead to either continuous or discontinuous cooperation phase transitions, and the nucleation process of cooperation clusters is reminiscent of the liquid-gas transition. The uncovered first-order phase transition indicates that great care needs to be taken when implementing the punishment compared to the continuous scenario.","Mon, 29 Jan 2024 11:30:35 UTC (1,913 KB)"
"51","Enhancing Protein-Ligand Binding Affinity Predictions using Neural Network Potentials","Francesc Sabanes Zariquiey, Raimondas Galvelis, Emilio Gallicchio, John D. Chodera, Thomas E. Markland, Gianni de Fabritiis","Chemical Physics (physics.chem-ph)","This letter gives results on improving protein-ligand binding affinity predictions based on molecular dynamics simulations using machine learning potentials with a hybrid neural network potential and molecular mechanics methodology (NNP/MM). We compute relative binding free energies (RBFE) with the Alchemical Transfer Method (ATM) and validate its performance against established benchmarks and find significant enhancements compared to conventional MM force fields like GAFF2.","Mon, 29 Jan 2024 11:18:14 UTC (11,600 KB)[v2] Wed, 14 Feb 2024 14:28:05 UTC (12,020 KB)"
"52","Accurate detection of diffusion anisotropy from an individual short particle trajectory","Kaito Takanami, Daisuke Taniguchi, Sawako Enoki, Masafumi Kuroda, Yasushi Okada, Yoshiyuki Kabashima","Mesoscale and Nanoscale Physics (cond-mat.mes-hall)","In parallel with advances in microscale imaging techniques, the fields of biology and materials science have focused on precisely extracting particle properties based on their diffusion behavior. Although the majority of real-world particles exhibit anisotropy, their behavior has been studied less than that of isotropic particles. In this study, we introduce a new method for estimating the diffusion coefficients of individual anisotropic particles using short-trajectory data on the basis of a maximum likelihood framework. Traditional estimation techniques often use mean-squared displacement (MSD) values or other statistical measures that inherently remove angular information. Instead, we treated the angle as a latent variable and used belief propagation to estimate it while maximizing the likelihood using the expectation-maximization algorithm. Compared to conventional methods, this approach facilitates better estimation of shorter trajectories and faster rotations, as confirmed by numerical simulations and experimental data involving bacteria and quantum rods. Additionally, we performed an analytical investigation of the limits of detectability of anisotropy and provided guidelines for the experimental design. In addition to serving as a powerful tool for analyzing complex systems, the proposed method will pave the way for applying maximum likelihood methods to more complex diffusion phenomena.","Mon, 29 Jan 2024 06:32:42 UTC (2,408 KB)"
"53","The dynamics of casual groups can keep free-riders at bay","José F. Fontanari, Mauro Santos","Populations and Evolution (q-bio.PE)","Understanding the conditions for maintaining cooperation in groups of unrelated individuals despite the presence of non-cooperative members is a major research topic in contemporary biological, sociological, and economic theory. The $N$-person snowdrift game models the type of social dilemma where cooperative actions are costly, but there is a reward for performing them. We study this game in a scenario where players move between play groups following the casual group dynamics, where groups grow by recruiting isolates and shrink by losing individuals who then become isolates. This describes the size distribution of spontaneous human groups and also the formation of sleeping groups in monkeys. We consider three scenarios according to the probability of isolates joining a group. We find that for appropriate choices of the cost-benefit ratio of cooperation and the aggregation-disaggregation ratio in the formation of casual groups, free-riders can be completely eliminated from the population. If individuals are more attracted to large groups, we find that cooperators persist in the population even when the mean group size diverges. We also point out the remarkable similarity between the replicator equation approach to public goods games and the trait group formulation of structured demes.","Sun, 28 Jan 2024 20:46:26 UTC (43 KB)"
"54","Ambitions for theory in the physics of life","William Bialek","Biological Physics (physics.bio-ph)","Theoretical physicists have been fascinated by the phenomena of life for more than a century. As we engage with more realistic descriptions of living systems, however, things get complicated. After reviewing different reactions to this complexity, I explore the optimization of information flow as a potentially general theoretical principle. The primary example is a genetic network guiding development of the fly embryo, but each idea also is illustrated by examples from neural systems. In each case, optimization makes detailed, largely parameter-free predictions that connect quantitatively with experiment","Sun, 28 Jan 2024 01:49:36 UTC (11,954 KB)"
"55","Limited data on infectious disease distribution exposes ambiguity in epidemic modeling choices","Laura Di Domenico, Eugenio Valdano, Vittoria Colizza","Populations and Evolution (q-bio.PE)","Traditional disease transmission models assume that the infectious period is exponentially distributed with a recovery rate fixed in time and across individuals. This assumption provides analytical and computational advantages, however it is often unrealistic. Efforts in modeling non-exponentially distributed infectious periods are either limited to special cases or lead to unsolvable models. Also, the link between empirical data (infectious period distribution) and the modeling needs (corresponding recovery rates) lacks a clear understanding. Here we introduce a mapping of an arbitrary distribution of infectious periods into a distribution of recovery rates. We show that the same infectious period distribution at the population level can be reproduced by two modeling schemes -- host-based and population-based -- depending on the individual response to the infection, and aggregated empirical data cannot easily discriminate the correct scheme. Besides being conceptually different, the two schemes also lead to different epidemic trajectories. Although sharing the same behavior close to the disease-free equilibrium, the host-based scheme deviates from the expected epidemic when reaching the endemic equilibrium of an SIS transmission model, while the population-based scheme turns out to be equivalent to assuming a homogeneous recovery rate. We show this through analytical computations and stochastic epidemic simulations on a contact network, using both generative network models and empirical contact data. It is therefore possible to reproduce heterogeneous infectious periods in network-based transmission models, however the resulting prevalence is sensitive to the modeling choice for the interpretation of the empirically collected data on infection duration. In absence of higher resolution data, studies should acknowledge such deviations in the epidemic predictions.","Fri, 26 Jan 2024 20:24:02 UTC (1,294 KB)"
"56","Effect of the Protein Corona Formation on Antibody Functionalized Liquid Lipid Nanocarriers","Saul A. Navarro-Marchal, Marina Martin-Contreras, David Castro-Santiago, Teresa del Castillo-Santaella, Pablo Gravan, Ana Belen Jodar-Reyes, Juan Antonio Marchal, Jose Manuel Peula-Garcia","Biological Physics (physics.bio-ph)","The main aim of this study is to report basic knowledge on how a protein corona (PC) could affect or modify the way in which multifunctionalized nanoparticles interact with cells. With this purpose, we have firstly optimized the development of a target-specific nanocarrier by coupling a specific fluorescent antibody on the surface of functionalized lipid liquid nanocapsules (LLNCs). Thus, an anti-HER2-FITC antibody ({\alpha}HER2) has been used, HER2 being a surface receptor that is overexpressed in several tumor cells. Subsequently, the in vitro formation of a PC has been developed using fetal bovine serum supplemented with human fibrinogen. Dynamic Light Scattering (DLS), Nanoparticle Tracking Analysis (NTA), Laser Doppler Electrophoresis (LDE), and Gel Chromatography techniques have been used to assure a complete physico-chemical characterization of the nano-complexes with (LLNCs-{\alpha}HER2-PC) and without (LLNCs-{\alpha}HER2) the surrounding PC. In addition, cellular assays were performed to study the cellular uptake and the specific cellular-nanocarrier interactions using the SKBR3 (high expression of HER2) breast cancer cell line and human dermal fibroblasts (HDFa) (healthy cell line without expression of HER2 receptors as control), showing that the SKBR3 cell line had a higher transport rate (50-fold) than HDFa at 60 min with LLNCs-{\alpha}HER2. Moreover, the SKBR3 cell line incubated with LLNCs-{\alpha}HER2-PC suffered a significant reduction (40%) in the uptake. These results suggest that the formation of a PC onto LLNCs does not prevent specific cell targeting, although it does have an important influence on cell uptake.","Fri, 19 Jan 2024 08:09:53 UTC (757 KB)"
"57","Temperature Compensation through Kinetic Regulation in Biochemical Oscillators","Haochen Fu, Chenyi Fei, Qi Ouyang, Yuhai Tu","Molecular Networks (q-bio.MN)","Nearly all circadian clocks maintain a period that is insensitive to temperature changes, a phenomenon known as temperature compensation (TC). Yet, it is unclear whether there is any common feature among different systems that exhibit TC. From a general timescale invariance, we show that TC relies on existence of certain period-lengthening reactions wherein the period of the system increases strongly with the rates in these reactions. By studying several generic oscillator models, we show that this counter-intuitive dependence is nonetheless a common feature of oscillators in the nonlinear (far-from-onset) regime where the oscillation can be separated into fast and slow phases. The increase of the period with the period-lengthening reaction rates occurs when the amplitude of the slow phase in the oscillation increases with these rates while the progression-speed in the slow phase is controlled by other rates of the system. The positive dependence of the period on the period-lengthening rates balances its inverse dependence on other kinetic rates in the system, which gives rise to robust TC in a wide range of parameters. We demonstrate the existence of such period-lengthening reactions and their relevance for TC in all four model systems we considered. Theoretical results for a model of the Kai system are supported by experimental data. A study of the energy dissipation also shows that better TC performance requires higher energy consumption. Our study unveils a general mechanism by which a biochemical oscillator achieves TC by operating at regimes far from the onset where period-lengthening reactions exist.","Thu, 25 Jan 2024 05:40:16 UTC (7,472 KB)"
"58","On the self-similarity of unbounded viscous Marangoni flows","Fernando Temprano-Coleto, Howard A. Stone","Fluid Dynamics (physics.flu-dyn)","The Marangoni flow induced by an insoluble surfactant on a fluid-fluid interface is a fundamental problem investigated extensively due to its implications in colloid science, biology, the environment, and industrial applications. Here, we study the limit of a deep liquid subphase with negligible inertia (low Reynolds number $Re\ll{1}$), where the two-dimensional problem has been shown to be described by the complex Burgers equation. We analyze the problem through a self-similar formulation, providing further insights into its structure and revealing its universal features. Six different similarity solutions are found. One of the solutions includes surfactant diffusion, whereas the other five, which are identified through a phase-plane formalism, hold only in the limit of negligible diffusion (high surface Péclet number $Pe_s\gg{1}$). Surfactant `pulses', with a locally higher concentration that spreads outward, lead to two similarity solutions of the first kind with a similarity exponent $\beta=1/2$. On the other hand, distributions that are locally depleted and flow inwards lead to similarity of the second kind, with two different exponents that we obtain exactly using stability arguments. We distinguish between `dimple' solutions, where the surfactant has a quadratic minimum and $\beta=2$, from `hole' solutions, where the concentration profile is flatter than quadratic and $\beta=3/2$. Each of these two cases exhibits two similarity solutions, one prior to a critical time $t_*$ when the derivative of the concentration is singular, and another one valid after $t_*$. We obtain all six solutions in closed form, and discuss useful predictions that can be extracted from these results.","Wed, 24 Jan 2024 18:31:08 UTC (7,440 KB)"
"59","Detecting local perturbations of networks in a latent hyperbolic space","Alice Longhena, Martin Guillemaud, Mario Chavez","Quantitative Methods (q-bio.QM)","Graph theoretical approaches have been proven to be effective in the characterization of connected systems, as well as in quantifying their dysfunction due to perturbation. In this paper, we show the advantage of a non-Euclidean (hyperbolic) representation of networks to identify local connectivity perturbations and to characterize the induced effects on a large scale. We propose two perturbation scores based on representations of the networks in a latent geometric space, obtained through an embedding onto the hyperbolic Poincaré disk. We numerically demonstrate that these methods are able to localize perturbations in networks with homogeneous or heterogeneous degree connectivity. We apply this framework to identify the most perturbed brain areas in epileptic patients following surgery. This study is conceived in the effort of developing more powerful tools to represent and analyze brain networks, and it is the first to apply geometric network embedding techniques to the case of epilepsy.","Wed, 24 Jan 2024 14:42:19 UTC (2,418 KB)"
"60","How norms shape the evolution of prosocial behavior. Compassion, Universalizability, Reciprocity, Equity: A C.U.R.E for social dilemmas","Brian Mintz, Feng Fu","Physics and Society (physics.soc-ph)","How cooperation evolves and particularly maintains at a large scale remains an open problem for improving humanity across domains ranging from climate change to pandemic response. To shed light on how behavioral norms can resolve the social dilemma of cooperation, here we present a formal mathematical model of individuals' decision making under general social norms, encompassing a variety of concerns and motivations an individual may have beyond simply maximizing their own payoffs. Using the canonical game of the Prisoner's Dilemma, we compare four different norms: compassion, universalizability, reciprocity, and equity, to determine which social forces can facilitate the evolution of cooperation, if any. We analyze our model through a variety of limiting cases, including weak selection, low mutation, and large population sizes. This is complemented by computer simulations of population dynamics via a Fisher process, which confirm our theoretical results. We find that the first two norms lead to the emergence of cooperation in a wide range of games, but the latter two do not on their own. Due to its generality, our framework can be used to investigate many more norms, as well as how norms themselves emerge and evolve. Our work complements recent work on fair-minded learning dynamics and provides a useful bottom-up perspective into understanding the impact of top-down social norms on collective cooperative intelligence.","Tue, 23 Jan 2024 16:42:13 UTC (2,279 KB)"
"61","Long-range three-dimensional tracking of nanoparticles using interferometric scattering (iSCAT) microscopy","Kiarash Kasaian (1,2,3), Mahdi Mazaheri (1,2,3), Vahid Sandoghdar (1,2,3) ((1) Max Planck Institute for the Science of Light, 91058 Erlangen, Germany., (2) Max-Planck-Zentrum für Physik und Medizin, 91058 Erlangen, Germany., (3) Department of Physics, Friedrich-Alexander-Universität Erlangen-Nürnberg, 91058 Erlangen, Germany.)","Optics (physics.optics)","Tracking nanoparticle movement is highly desirable in many scientific areas, and various imaging methods have been employed to achieve this goal. Interferometric scattering (iSCAT) microscopy has been particularly successful in combining very high spatial and temporal resolution for tracking small nanoparticles in all three dimensions. However, previous works have been limited to an axial range of only a few hundred nanometers. Here, we present a robust and efficient strategy for localizing nanoparticles recorded in high-speed iSCAT videos in three dimensions over tens of micrometers. We showcase the performance of our algorithm by tracking gold nanoparticles as small as 10 nm diffusing in water while maintaining 5 {\mu}s temporal resolution and nanometer axial localization precision. Our results hold promise for applications in cell biology and material science, where the three-dimensional motion of nanoparticles in complex media is of interest.","Tue, 23 Jan 2024 17:56:10 UTC (10,383 KB)"
"62","Temporal Interaction and its Role in the Evolution of Cooperation","Yujie He, Tianyu Ren, Xiao-Jun Zeng, Huawen Liang, Liukai Yu, Junjun Zheng","Physics and Society (physics.soc-ph)","This research investigates the impact of dynamic interactions with time-varying topologies on the evolution of cooperative behaviours in social dilemmas. Traditional research has focused on deterministic rules governing pairwise interactions, yet the impact of interaction frequency and synchronicity on cooperation remains underexplored. Addressing this gap, our work introduces two temporal interaction mechanisms to model the stochastic or periodic participation of individuals in these games, acknowledging real-life variances due to exogenous temporal factors and geographical time differences. We consider that the interaction state significantly influences both game payoff calculations and the strategy updating process, offering new insights into the emergence and sustainability of cooperation. Our results indicate that maximum game participation frequency is suboptimal under a stochastic interaction mechanism. Instead, an intermediate region of activation probability yields the highest cooperation level, especially under strong dilemma conditions. This suggests that a balance between inactivity security and interaction frequency is crucial. Furthermore, local synchronization of interactions within specific areas is shown to be beneficial, as time differences hinder the spread of cross-structures but promote the formation of dense cooperative clusters with smoother boundaries. Our findings provide an intuitive understanding of node-based temporality and probabilistic interactions, contributing to the broader discourse on resolving social dilemmas.","Mon, 22 Jan 2024 09:29:32 UTC (22,294 KB)[v2] Mon, 5 Feb 2024 13:29:42 UTC (15,587 KB)"
"63","Modern approaches to improving phase contrast electron microscopy","Jeremy J. Axelrod, Jessie T. Zhang, Petar N. Petrov, Robert M. Glaeser, Holger Mueller","Quantitative Methods (q-bio.QM)","Although defocus can be used to generate partial phase contrast in transmission electron microscope images, cryo-electron microscopy (cryo-EM) can be further improved by the development of phase plates which increase contrast by applying a phase shift to the unscattered part of the electron beam. Many approaches have been investigated, including the ponderomotive interaction between light and electrons. We review the recent successes achieved with this method in high-resolution, single-particle cryo-EM. We also review the status of using pulsed or near-field enhanced laser light as alternatives, along with approaches that use scanning transmission electron microscopy (STEM) with a segmented detector rather than a phase plate.","Mon, 22 Jan 2024 03:43:27 UTC (1,427 KB)"
"64","Smart Drug-Delivery Systems for Cancer Nanotherapy","Paola Sanchez-Moreno, Juan Luis Ortega-Vinuesa, Jose Manuel Peula-Garcia, Juan Antonio Marchal, Houria Boulaiz","Tissues and Organs (q-bio.TO)","Despite all the advances achieved in the field of tumor-biology research, in most cases conventional therapies including chemotherapy are still the leading choices. The main disadvantage of these treatments, in addition to the low solubility of many antitumor drugs, is their lack of specificity, which explains the frequent occurrence of serious side effects due to nonspecific drug uptake by healthy cells. Progress in nanotechnology and its application in medicine have provided new opportunities and different smart systems. Such systems can improve the intracellular delivery of the drugs due to their multifunctionality and targeting potential. The purpose of this manuscript is to review and analyze the recent progress made in nanotherapy applied to cancer treatment. First, we provide a global overview of cancer and different smart nanoparticles currently used in oncology. Then, we analyze in detail the development of drug-delivery strategies in cancer therapy, focusing mainly on the intravenously administered smart nanoparticles with protein corona to avoid immune-system clearance. Finally, we discuss the challenges, clinical trials, and future directions of the nanoparticle-based therapy in cancer.","Sat, 20 Jan 2024 10:03:56 UTC (664 KB)"
"65","Homogenisation of nonlinear blood flow in periodic networks: the limit of small haematocrit heterogeneity","Y. Ben-Ami, B. D. Wood, J. M. Pitt-Francis, P. K. Maini, H. M. Byrne","Tissues and Organs (q-bio.TO)","In this work we develop a homogenisation methodology to upscale mathematical descriptions of microcirculatory blood flow from the microscale (where individual vessels are resolved) to the macroscopic (or tissue) scale. Due to the assumed two-phase nature of blood and specific features of red blood cells (RBCs), mathematical models for blood flow in the microcirculation are highly nonlinear, coupling the flow and RBC concentrations (haematocrit). In contrast to previous works which accomplished blood-flow homogenisation by assuming that the haematocrit level remains constant, here we allow for spatial heterogeneity in the haematocrit concentration and thus begin with a nonlinear microscale model. We simplify the analysis by considering the limit of small haematocrit heterogeneity which prevails when variations in haematocrit concentration between neighbouring vessels are small. Homogenisation results in a system of coupled, nonlinear partial differential equations describing the flow and haematocrit transport at the macroscale, in which a nonlinear Darcy-type model relates the flow and pressure gradient via a haematocrit-dependent permeability tensor. During the analysis we obtain further that haematocrit transport at the macroscale is governed by a purely advective equation. Applying the theory to particular examples of two- and three-dimensional geometries of periodic networks, we calculate the effective permeability tensor associated with blood flow in these vascular networks. We demonstrate how the statistical distribution of vessel lengths and diameters, together with the average haematocrit level, affect the statistical properties of the macroscopic permeability tensor. These data can be used to simulate blood flow and haematocrit transport at the macroscale.","Tue, 16 Jan 2024 21:51:22 UTC (678 KB)"
"66","Diffusion of intrinsically disordered proteins within viscoelastic membraneless droplets","Fuga Watanabe, Takuma Akimoto, Robert B. Best, Kresten Lindorff-Larsen, Ralf Metzler, Eiji Yamamoto","Soft Condensed Matter (cond-mat.soft)","In living cells, intrinsically disordered proteins (IDPs), such as FUS and DDX4, undergo phase separation, forming biomolecular condensates. Using molecular dynamics simulations, we investigate their behavior in their respective homogenous droplets. We find that the proteins exhibit transient subdiffusion due to the viscoelastic nature and confinement effects in the droplets. The conformation and the instantaneous diffusivity of the proteins significantly vary between the interior and the interface of the droplet, resulting in non-Gaussianity in the displacement distributions. This study highlights key aspects of IDP behavior in biomolecular condensates.","Fri, 19 Jan 2024 01:02:25 UTC (2,121 KB)"
